px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0.0287602	0.01	8.46292	0.243462	8.6	0.25	-3.00029	0	0.001
8.42572	0.248957	-3.03584	0.0284011	0.00997051	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000781138
8.50416	0.244053	-2.33908	0.0325624	0.0102037	8.56759	0.241943	8.45	0.25	0	0	2.81277
8.4266	0.244502	-2.3346	0.0286439	0.0096995	8.45582	0.253997	8.45	0.25	0	0	0.00464159
8.35163	0.246933	-2.3886	0.0202857	0.00835411	8.42544	0.254042	8.35	0.25	-1.81979	0	0.322758
8.24661	0.245934	-2.38953	0.0182125	0.00784329	8.23962	0.24916	8.25	0.25	-1.81978	0	0.000323396
7.98789	0.207713	-3.38743	0.103239	0.0347394	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	0.433629
7.8424	0.183628	-3.3875	0.122142	0.0405634	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.00274842
7.66143	0.17519	-3.49227	0.0892176	0.00916266	7.61269	0.155818	7.7	0.15	-2.99982	0	0.241158
7.503	0.159604	-3.48936	0.0903864	0.00952612	7.54016	0.159641	7.55	0.15	-2.99982	0	0.00830252
7.44006	0.0808153	-3.01563	0.209005	0.173232	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	5.2659
7.28927	0.0434224	-3.01261	0.222532	0.177133	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.0177202
7.14172	0.00740572	-3.01271	0.230151	0.16944	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.133379
6.99058	-0.0349856	-3.01058	0.244406	0.175442	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.0266608
6.90021	-0.197779	-2.80442	0.520413	0.796152	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	3.94355
6.77713	-0.274185	-2.79977	0.562953	0.795188	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.034191
6.67071	-0.361783	-2.79597	0.635439	0.872472	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.0915599
6.56708	-0.448321	-2.79389	0.681442	0.875654	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.0374981
6.53776	-0.643981	-2.799	1.01499	1.51663	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	1.2109
6.4747	-0.756463	-2.78803	1.08704	1.5156	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.114819
6.43054	-0.91127	-2.81133	1.24744	1.68499	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.241126
6.3927	-1.05893	-2.80881	1.34137	1.68714	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.0270808
6.28522	-1.11916	-2.63876	1.18069	1.1973	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	2.64847
6.23593	-1.25432	-2.63783	1.24693	1.198	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.00239373
6.33656	-1.46308	-2.73542	1.59871	1.7368	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	7.1891
6.34856	-1.61469	-2.73795	1.69451	1.73622	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.012491
